Row,Stage,Week,Solution,Replication,Height,Greenness,Surface,Roots,Organs
1,Stage 1,Week 1,Solution 1,Replication 1,2.14,5,19.02,2,2
2,Stage 1,Week 1,Solution 1,Replication 2,2.70,4,15.94,1,2
3,Stage 1,Week 1,Solution 1,Replication 3,2.40,4,18.68,1,2
4,Stage 1,Week 1,Solution 1,Replication 4,2.31,5,18.75,1,2
5,Stage 1,Week 1,Solution 1,Replication 5,2.57,5,17.62,1,1
6,Stage 1,Week 1,Solution 1,Replication 6,2.54,4,19.55,1,1
7,Stage 1,Week 1,Solution 1,Replication 7,2.96,4,17.44,2,2
8,Stage 1,Week 1,Solution 1,Replication 8,2.63,5,18.89,2,2
9,Stage 1,Week 1,Solution 1,Replication 9,2.56,5,15.22,2,1
10,Stage 1,Week 1,Solution 1,Replication 10,2.02,5,17.21,1,1
11,Stage 1,Week 1,Solution 1,Replication 11,2.98,4,19.63,1,1
12,Stage 1,Week 1,Solution 1,Replication 12,2.42,4,19.95,1,2
13,Stage 1,Week 1,Solution 1,Replication 13,2.24,4,16.12,2,2
14,Stage 1,Week 1,Solution 1,Replication 14,2.66,4,18.39,1,2
15,Stage 1,Week 1,Solution 2,Replication 1,1.26,3,13.38,2,2
16,Stage 1,Week 1,Solution 2,Replication 2,1.04,3,14.72,1,1
17,Stage 1,Week 1,Solution 2,Replication 3,1.08,3,10.91,1,2
18,Stage 1,Week 1,Solution 2,Replication 4,1.01,2,12.00,1,1
19,Stage 1,Week 1,Solution 2,Replication 5,1.27,2,10.25,2,1
20,Stage 1,Week 1,Solution 2,Replication 6,1.80,2,11.70,1,2
21,Stage 1,Week 1,Solution 2,Replication 7,1.05,3,11.66,2,1
22,Stage 1,Week 1,Solution 2,Replication 8,1.77,2,13.88,1,2
23,Stage 1,Week 1,Solution 2,Replication 9,1.91,3,12.55,1,1
24,Stage 1,Week 1,Solution 2,Replication 10,1.44,3,13.85,2,1
25,Stage 1,Week 1,Solution 2,Replication 11,1.75,2,11.75,2,2
26,Stage 1,Week 1,Solution 2,Replication 12,1.83,3,13.68,2,2
27,Stage 1,Week 1,Solution 2,Replication 13,1.15,3,13.46,1,1
28,Stage 1,Week 1,Solution 2,Replication 14,1.67,2,12.60,2,2
29,Stage 1,Week 1,Solution 3,Replication 1,1.41,4,11.20,2,2
30,Stage 1,Week 1,Solution 3,Replication 2,1.28,4,14.62,1,2
31,Stage 1,Week 1,Solution 3,Replication 3,1.43,3,14.77,1,2
32,Stage 1,Week 1,Solution 3,Replication 4,1.31,4,14.25,2,2
33,Stage 1,Week 1,Solution 3,Replication 5,1.66,3,10.64,2,2
34,Stage 1,Week 1,Solution 3,Replication 6,1.77,4,12.24,1,1
35,Stage 1,Week 1,Solution 3,Replication 7,1.05,4,14.65,1,1
36,Stage 1,Week 1,Solution 3,Replication 8,1.59,4,10.08,2,2
37,Stage 1,Week 1,Solution 3,Replication 9,1.62,3,10.36,1,2
38,Stage 1,Week 1,Solution 3,Replication 10,1.06,4,14.21,2,2
39,Stage 1,Week 1,Solution 3,Replication 11,1.86,3,11.37,1,1
40,Stage 1,Week 1,Solution 3,Replication 12,1.41,3,14.49,1,2
41,Stage 1,Week 1,Solution 3,Replication 13,1.87,3,11.64,1,2
42,Stage 1,Week 1,Solution 3,Replication 14,1.92,3,14.33,2,2
43,Stage 1,Week 1,Solution 4,Replication 1,2.94,5,19.64,1,1
44,Stage 1,Week 1,Solution 4,Replication 2,2.95,4,18.84,2,2
45,Stage 1,Week 1,Solution 4,Replication 3,2.20,4,15.59,2,1
46,Stage 1,Week 1,Solution 4,Replication 4,2.01,5,17.45,1,2
47,Stage 1,Week 1,Solution 4,Replication 5,2.31,4,16.99,1,1
48,Stage 1,Week 1,Solution 4,Replication 6,2.31,5,15.23,1,2
49,Stage 1,Week 1,Solution 4,Replication 7,2.37,5,18.74,1,2
50,Stage 1,Week 1,Solution 4,Replication 8,2.42,5,17.09,1,2
51,Stage 1,Week 1,Solution 4,Replication 9,2.00,5,16.12,2,2
52,Stage 1,Week 1,Solution 4,Replication 10,2.08,5,19.99,2,1
53,Stage 1,Week 1,Solution 4,Replication 11,2.88,4,15.79,1,1
54,Stage 1,Week 1,Solution 4,Replication 12,2.01,5,18.02,1,2
55,Stage 1,Week 1,Solution 4,Replication 13,2.56,5,15.69,2,1
56,Stage 1,Week 1,Solution 4,Replication 14,2.36,5,15.66,1,1
57,Stage 1,Week 1,Solution 5,Replication 1,1.21,4,11.65,2,1
58,Stage 1,Week 1,Solution 5,Replication 2,1.51,4,14.41,1,1
59,Stage 1,Week 1,Solution 5,Replication 3,1.91,3,13.98,1,2
60,Stage 1,Week 1,Solution 5,Replication 4,1.22,3,11.16,2,2
